UniProtID,UniRef50_Cluster
P17213,"P17213,A0A2R8YDF1,B4DKH6,A0A2R9APG6,H2QKC1,A0A2R9AU19,G3QX42,G1R3E6,A0A2I3TJ94,A0A6D2Y3R2"
P17252,"P17252,P20444,P05696,L7RSM7,A0A2K5UKX2,A0A5E4B7T3,A0A7N9CG70,G1QHE4,A0A2K5HEA7,A0A8C9AC27"
P17275,"P17275,P09450,P24898,Q5U079,A0A2R8ZP35,A0A2K5H9B9,A0AAJ7IB33,H2R6C6,A0A6D2Y4K0,A0A2K6SD42"
P17301,"P17301,Q62469,P53710,Q16183,F1C627,E7ESP4,A0A2I3LS34,G3LGR5,Q71V33,A0A0X8AZ85"
P17302,"P17302,P18246,Q6TYA7,Q6S9C0,Q29101,A6XKM2,Q6TYA8,P08050,Q4R4S7,Q6TYA9"
P17342,"P17342,P70180,P41740,P10730,F7I3P2,A0A2K5JR05,A0A6D2XGY4,A0A2I3RV92,G7P7B3,A8K4A5"
P17405,"P17405,Q0VD19,Q59EN6,A0A2J8SVR4,A0A2J8P6I6,E9PL59,A0AAJ7IKN5,A0A2K6QYG5,A0A2K6LP84,F7IQZ3"
P17480,"P17480,P25976,P25977,A0A2K6E0Y3,A0A2J8UYF4,K7B7K3,G7NIX4,A0A6D2X7E4,A0A2K6PXB1,A0A8J8YSB1"
P17481,"P17481,A0A836CXY8,A0A9W3EXC2,L7P233,L7P2C1,A0A452ERW1,M3YV59,A0A6J1XBD6,A0A6J3B712,A0A2J8W961"
P17482,"P17482,P20615,A0A8C6FAD0,A0A2Y9EVF2,A0A340Y0R0,A0A341BKC8,A0A8C9CE87,A0A2Y9LY03,A0A341BHD2,G3TN01"
P17483,"P17483,Q08DG5,A0A8C6FAS0,F1RWG5,A0A8D0ZL42,A0A8D1PVW1,A0A8D0XQK1,A0A8D1JAK0,F6ZUX4,A0A6P3HNP1"
P17509,"P17509,P09023,A0A6D2XDE2,H2QDC2,A0A2R9ALG9,G1T1I8,A0A9B0WHN1,A0A5N3WDM8,A0A5N3WZY8,A0A7J7EJD1"
P17516,"P17516,Q95JH7,Q95JH6,A0A2R9AMJ4,A0A0D9RN27,A0A2K6BPM4,A0A6D2XCT7,A0A2J8KTV4,A0A8I5YU58,A0A2J8S320"
P17535,"P17535,A0A1D5R6J9,A0AAJ7H3I2,H9F0B7,A0A8B7R8P9,A0A337SJI8,A0A6J1XNT7,A0A8C8W8W5,A0A667G2W0,A0A9V1E102"
P17540,"P17540,O77814,Q6P8J7,P09605,Q3ZBP1,A0A6D2WKE9,A0A2J8NN23,A0A2R9C757,D6R998,A0A2J8NN05"
P17542,"P22091,P17542,A0A8C6ING3,Q3TZH7,A2AD40,A0A0G2K1M1,D3Z921,A6JZ30,K7ZKX4,G3GYT5"
P17544,"P17544,Q5R9C9,H2Q627,A0A6D2X1J3,G3RGS2,L5MC19,A0A9L0RPR2,A0A9L0JBR2,A0A9L0IRK2,A0A2Y9KPR3"
P17568,"P17568,Q0MQE3,Q0MQE2,Q0MQE4,Q9CR61,Q02368,A0A2K5VGE4,H2QFK7,A0A6D2XAP7,A0A2R9CLC2"
P17600,"O88935,P17599,P17600,P09951,B7TY10,A0A8D2ABL6,A0A8D1X3M0,F6PZQ8,A0A2K5E4L4,A0A452E226"
P17612,"P17612,P25321,P27791,P36887,Q9MZD9,P05132,P00517,Q8MJ44,A0A1D5R1I4,A0A2K5INT9"
P17643,"P17643,O57405,Q8WN57,Q2VPW6,P55028,P07147,P55027,B4DNE6,A0A2J8M4S4,A0A6D2X2W5"
P17655,"P17655,Q27971,Q27970,Q9GLG2,P07384,A6NHC0,Q5NVS7,M3XXY5,A0A8U0SZK7,M1EE84"
P17658,"P17658,A0A2I2YQ40,A0A2I3GEA3,A0A834EJL5,A0A6J2N9U1,A0A7J8FYA8,A0A2Y9DU24,A0A8B7SXM1,A0A8C6EB60,A0A4W2GIV9"
P17661,"P17661,P02540,O62654,P31001,P02541,P48675,Q53SB5,A0A6D2XZ78,H2QJG9,F7ERR2"
P17676,"P17676,K7CMR0,A0A803KLE3,P17676-2,A0A6J2MLY7,A0A833Z7I9,A0A811XXM1,A0A7J7Y817,A0A2U3WT63,M1EFL2"
P17677,"P17677,Q5IS67,Q95K78,Q5NVP7,Q98987,P06836,P35001,Q5U058,K7AAH3,A0A663DHV4"
P17693,"P04439,P14427,P30382,P16391,P30378,P30388,P01894,P06140,Q95IT1,P17693"
P17706,"P17706,G3RMA5,A0A2R9BQG0,A0A6J3J3A2,A0A2K6N8A9,H9FXS0,A0A2K5LC73,A0A2K5VN47,A0A8D2JYQ5,A0A2K5ZP27"
P17707,"P17707,P50243,P0DMN7,P17708,P28918,A0A5F9ZHD5,H2QTK1,A0A6D2XPJ6,A0A6D2X7Z2,A0A2R9CP40"
P17735,"P17735,Q8QZR1,P04694,Q58CZ9,A0A140VKB7,A0AA41MDM6,L9KKN5,G1PBX8,A0A8C9GLP2,A0A2K6UFW7"
P17752,"P17752,P17290,E9PR49,A0AAQ5BHT3,M3X4L0,A0A4U1FD21,A0A6P6I879,A0A6J2AGA2,A0A9V1FZA1,A0A9V1FZ77"
P17787,"Q9ERK7,P17787,P12390,P26153,Q8R493,P12392,A0A2I3LWQ4,A0A2K6M4T9,A0AAJ7MA52,A0A2J8VG05"
P17812,"P17812,Q7ZXP9,Q1RMS2,Q5F3Z1,P70303,Q5U2N0,P70698,Q9NRF8,A0A6D2W667,K6ZWB2"
P17813,"P17813,P37176,A0AAQ5BHG4,F5GX88,A0AAQ5BHC4,Q71V36,A0AAQ5BHA9,H2QXY0,A0A6D2WY60,A0A2R9AKB4"
P17844,"P17844,Q61656,Q4R6M5,Q5R4I9,A5A6J2,A0A485MMT1,A0A8U0S6G5,A0A452E9Y3,A0A2K6N741,A0A6J1YGM9"
P17858,"P08237,Q5RAG9,Q2HYU2,P47858,P00511,Q867C9,Q60HD9,P17858,P30835,P12382"
P17861,"P17861,Q9R1S4,O35426,Q3SZZ2,A0A2J8UUN7,A0A2J8QN86,B1AHH2,A0A2J8QN87,A0A663D8N5,A0A0D9RC50"
P17900,"P17900,Q8HXX6,Q60648,G3RH12,H2QRT9,A0A6D2XV89,A0A2R9BHB2,G7MVN5,G7P8Q8,Q8I029"
P17927,"P17927,Q5SBK6,Q9HB98,E9PDY4,A0A346RCT4,B4DPT3,Q9UQR7,A0A346RD82,Q9HB99,A0A2I3RSN6"
P17931,"P17931,P16110,P08699,A0A024R693,Q8IXB9,A0A7N5JCQ6,G3V407,Q86TY5,G3QLN6,Q59FR8"
P17936,"P17936,H2QUJ6,A0A6D2X163,A0A2J8RKN4,A0A2J8RKM8,A0A2J8L990,K7PEQ9,A0A2J8RKM9,A0A2J8L977,B3KPF0"
P17947,"P17433,P17947,Q6BDS1,Q3U5L4,A0AAA9WUS1,A0A6P5PBA3,A0A8C6I6U4,E9QAI9,A0A452RIR8,A0AAD6B7G6"
P17948,"P17948,P53767,P35969,Q8QHL3,L7RSL3,P17948-6,H9N1E7,A0A2J8L593,A0A2R9AAE0,P17948-7"
P17980,"P17980,O42587,A0A140VK42,A0A8C3TJT8,A0A6J0U341,A0A7L0N3M5,G1PV09,W5P9K6,A0A835ZRX0,A0AAD4Y7I4"
P17987,"P17987,Q4R5G2,Q9W790,G2HIL6,A0A6D2VYN1,G3RDV8,F5H136,A0A2J8XBC0,A0A2J8KK76,E7EQR6"
P18031,"P18031,P35821,P20417,A8K3M3,H2R283,A0A6D2WTL2,A0A2R9A014,B4DSN5,A0A2J8MJE0,A0A2K6R9L7"
P18054,"P18054,F7IM53,A0A6J3I2K1,U3B0U1,A0A2K6NAX8,H2NSF9,A0A2R9A7K3,F7GAZ2,A0A2K5LD05,A0A8D2FYQ7"
P18065,"P18065,P47877,P12843,H2QJD5,A0A2K6N8C6,A0A6D2Y1C2,G1R6Q3,A0A8C0P3Z4,A0A811ZBL7,A0A8P0SJB9"
P18074,"P18074,Q60452,A6QLJ0,O08811,A0A804HK53,A0A2Y9P1Y9,A0A2Y9P773,A0A341DAJ5,A0A7N5K2V8,A0A8M1G389"
P18075,"P18075,A8K571,A0A2J8TXL6,F6ZJT0,A0A8J8XHT8,A0A6D2W5B0,H2QKM7,A0A2K5KKN9,A0A096NNJ3,A0A2R9AT21"
P18077,"P18077,P61272,Q5R8K6,O55142,G1SF08,P04646,A0A8C9KBM4,A0A9W2VL84,M3XYD9,A0A6J0A472"
P18084,"P18084,O70309,P80747,Q07441,L7RT22,A0A2K6SGQ1,A0A2K6SGK5,A0A2K5EUL8,U3BA33,F7GMY8"
P18085,"P18085,Q5RCF1,A0A2K5UAM3,F6XY54,H2QMU4,I0FRJ6,A0A2K5INE3,A0A2K6Q077,A0A2J8T174,A0A6D2Y181"
P18089,"P18089,P19328,P30545,A0A7N9CCG2,A0A2K6AYU9,A0A2K5TP48,G7PMQ1,G3S902,A0A2K5HLV9,H2P540"
P18124,"P18124,P05426,Q5ZJ56,A0A2I3SQ40,A0A2R9BH28,A0A7N5KBE4,G3S1P6,A0A5E4C3S7,A0A5E4C5D5,A0A8C9QGE8"
P18146,"P08154,P18146,P08046,A6J2W7,A0A0H2UHR3,F6ZQI6,K9KC14,A0A8C4PTX7,G3U525,A0A2K5CR13"
P18206,"P18206,P12003,P26234,P85972,Q64727,V9HWK2,H2Q246,A0A2K5PKD0,A0A6D2WSN7,A0A2R9CAL0"
P18283,"P00435,Q8MJ14,P83645,Q4AEI0,Q4AEH8,Q0EF98,P18283,Q4AEH9,A0A6P5DPT6,A0A345W8D3"
P18405,"P18405,Q28891,H2QQM0,A0A6D2W9I8,A0A2R9BNM1,G1RKY6,A0A2J8TM68,A0A2I3G1S2,A0A2I3GRE1,G1L7S5"
P18428,"P18428,G3QX51,A0A2R9B8P9,G1R3G3,H2QKC2,A0A6D2X0M0,H2P1W4,Q8TCF0,A0A2K5H7W0,A0A1A6GSB7"
P18433,"P18433,Q03348,B7Z2A4,Q5JWG3,Q5JWG2,A0A2K6K4A9,A0A8I5NMD1,A0A096NV89,F6TLB9,A0A5F7ZK24"
P18440,"P18440,F5H5R8,Q6U7I7,Q400I9,Q09LL5,Q5C8V2,Q400J6,A0A2K5IWM9,A0A2K5LUI3,A0A219UR82"
P18505,"P15431,P18505,P08220,P50571,A0A1U7R4F3,A6JD82,A0A8J6H0C3,A0A9B0U529,A0A8B8XI59,A0A836AAP7"
P18507,"P18507,P22300,P22723,P21548,P34904,Q9R0Y8,Q8N1C3,P23574,F7A3C2,A0A8B7FIY9"
P18509,"P18509,Q53BH1,B7Z222,A0A0D9RYF2,A0AAJ7HHC7,A0A2K6L7S3,A0A2K5N6G6,A0A8D2FD12,G1R588,Q53BH2"
P18510,"P18510,Q866R8,P25086,Q9GMZ4,O18999,Q29056,P26890,P25085,A0A2J8SH48,A0AAJ7IGZ9"
P18545,"P18545,A0A2I3T3T8,A0A6D2WA18,A0A2J8Y2T8,A0A2J8JG62,A0A2R9A364,A0A2K5E4Q2,G3RH90,G1RZM1,A0A1B1SKB0"
P18564,"P18564,Q1RPR6,Q9Z0T9,P18563,Q8SQB8,Q6AYF4,A0A6P3QEH9,A0A6P6CDW1,A0A6P3QAM8,A0A6P3QEI6"
P18577,"P18577,Q02161,Q28427,Q28481,Q28849,O88298,Q28426,Q28813,Q28812,Q28814"
P18583,"P18583,Q9QX47,P18583-5,A0A2J8UL30,A0A2J8UL27,A0A6J3HQW0,G1QVB1,A0A8C9GRZ1,A0A2J8UL56,H2P312"
P18615,"P18615,A0A1U9X830,A0A0A0MT02,A2ABK4,L9KL62,A0A9X9MBD6,A0A6P5J9B7,A0AAU9ZBY1,A0A384B3V9,A0A1S3A0H3"
P18621,"P18621,Q5XTY7,Q4GXH5,Q5I5J1,Q4GXH7,Q4GXH6,Q0PXV9,Q54NG2,Q5IST2,A0A8U0NSX5"
P18627,"P18627,A0A2J8TBE9,H2R1K3,A0A2R8ZS97,A0A2J8JEL7,H2NG97,G7N5T7,A0A8C2VVW3,A0A6P3FNS4,A0A9B0TLV1"
P18669,"P18669,A0A2K5RUY6,G2HJX1,A0A455AKH3,A0A8C5XZH2,A0A7J8GE33,Q6FHU2,M3Z028,A0A287AJQ2,A0A4X1UA74"
P18754,"P18754,Q5T081,A0A1U7TZ84,A0A8B7SS96,A0A2K5IBY0,A0A2K5QKA2,A0A6J3FA96,A0A0S2Z3I4,A0A2K6REM0,H9Z4Q1"
P18825,"P18825,Q4W594,A0A6J2DFB4,A0A9V1FUC5,A0A3Q7Q7P8,A0A8U0RXK8,A0A8B7EXX1,A0A8J5ZVS6,A0A2J8SRL4,A0A2J8K685"
P18827,"P18827,Q08DZ5,P34740,P26260,P18828,P47951,A0A2R9BRN2,A0A2I2YZE2,A0A2J8RSN4,A0A6D2XX41"
P18846,"P18846,F8VYN3,F8VS03,B2R8K4,A0A1S3WIU8,A0A8B7TP64,A0A8C0XYE4,L8Y365,A0A8D0C150,A0A452EXH3"
P18847,"P18847,Q60765,A0A6D2W3W2,K7D430,A0A2K5F1D5,G1QRJ9,G3RE79,Q5VTZ4,A0A2J8QVD3,A0A1S3AFT8"
P18848,"P18848,Q3ZCH6,Q06507,Q9ES19,B4DJD4,A0A6Q8PFH6,A0A6Q8PHB3,A0A6Q8PGY1,A0A7N9CR63,H9EV56"
P18850,"P18850,A0A7P0Z4I7,A0A7P0T9V3,A0A5F7ZD43,A0A7N9CPP2,A0A7P0TAH1,A0A7P0T8Y1,A0A7P0Z421,A0A6D2XFU4,H2Q0H3"
P18858,"P18858,A0A5F7ZW25,A0A5F7ZBF2,Q76GR4,A0A5F8ADC7,A0A1D5Q9J8,A0AAJ7MVQ9,A0AAJ7IBW3,A0A2K6MXR2,A0AAJ7MVS0"
P18859,"P18859,Q5RBY3,P18859-2,Q6IB54,H2QKV8,A0A2R9B1H9,A0A2I2Z437,G3SFN3,G1QPR6,Q6NZ59"
P18887,"P18887,Q59HH7,M4WFF9,A0A2K6T4B2,A0A2K6CCR9,A0A2K5ZU98,A0A2K5N670,A0A2K5DDD8,A0A2K5I2X3,A0A8C8ZK16"
P19012,"P19012,I3MMU8,G7PUS4,A0A8D2AIA7,A0A6P3RLU8,A0A8C2QGJ8,G3I8F6,A0AAJ7F3Z7,A0A6I9LYN9,A0A1U7RHH1"
P19013,"P19013,P07744,Q6IG00,Q148H8,Q6IFZ9,Q14CN4,Q6IG01,Q148H5,B4DRW1,F7IBP7"
P19021,"P14925,P97467,P08478,P12890,P19021,A6JR60,A0A1U8CEA0,A0A3Q0D213,A0A3Q0D311,A0A3Q0CXI0"
P19022,"P19022,Q5R9X1,B2KI42,B4USZ0,B0KW95,C9J126,C9JMH2,A0A8M1FY71,D2H3V2,A0A0B5CSQ5"
P19075,"P19075,Q5R9S6,A0A2J8W1A1,A0A6D2XEG6,A0A2J8K4G8,A0A2R9A5W4,G3RKT3,A0A6D2WC24,Q53GA9,A0A8B7S6L6"
P19086,"O70443,P19627,P19086,G3HMY7,A0A6I9LH44,Q542R8,A0A8C6HKK4,A0A6P5QH07,A0A1U7QMQ0,A0M9B9"
P19087,"P50149,P04696,P38407,P19087,A2AE33,A0A8C6HKG2,A2AE32,A0AAD4UMH0,B7VGH3,A0A6P7R2L3"
P19099,"P19099,P30099,P15539,P30100,Q64658,P97720,G3RC58,G1S5F1,A0A2J8LFL7,A0AAJ7I0Z8"
P19105,"P18666,P13832,P19105,Q5RC34,A0A7N4NFH5,A0A8C8SKH3,A0A8C8SNP3,A0A286X9Z5,A0A480VPY4,A0A8D2C4Z9"
P19113,"P19113,Q5EA83,P23738,A0A337SLA3,M3W2D4,A0A9W2UEM0,A0A9W2UFZ0,A0A667GZ48,A0A6I9ZI33,A0A6I9ZDF9"
P19174,"P19174,Q62077,P08487,P10686,A0A8D1WG82,A0A8D0P3R5,A0A8D1F8I8,A0A8D0VMF9,A0A8D0UPT5,A0A5E4A6U3"
P19224,"P22309,Q64634,Q64638,Q28612,Q64633,Q6ZQM8,Q64637,P19224,P22310,P35504"
P19235,"P19235,I6R7G3,G1RPQ1,A0A6G6CDC9,K7EU54,A0A2R9AWD4,H2R6D1,A0A6D2XNX3,A0A2I3GSL1,A0A8C9LYS1"
P19237,"P19237,P02645,A0A2J8UXL4,I2CW22,A0A6D2X480,H2Q0V9,A0A2K6PUE1,A0A2K5KZI8,A0A096N3P9,A0A8C9LT38"
P19256,"P19256,G3RR66,A0A2K6UL54,A0A2K6UL49,A0A2J8SQM2,H2R015,A0A6D2XQS2,A0A2R9BGI9,H2N685,P19256-3"
P19320,"P19320,P29534,Q28260,P29533,G0ZFQ0,Q68DC4,F8UU18,G0ZI12,F8UV74,F2YYR6"
P19338,"P19338,Q4R4J7,Q5RF26,P08199,P13383,C9JLB1,B3KM80,A0A2K6B1F3,A0A8C9IYF9,A0A8I3W7I7"
P19367,"P19367,P05708,P27595,Q5RC71,Q91W97,Q59FD4,B4DG62,M3W346,A0A6J1ZKR5,Q8SQ77"
P19387,"P19387,Q6FGR6,A0A2K5UGS4,A0A6D2WS96,F6VRF4,H2QB71,A0A2K6RXK9,A0A2K5S5S5,A0A8J8XVJ5,F6ZTF7"
P19388,"P19388,Q2T9T3,E5KT65,A0A671TU37,A0A671P9R6,A0A673K1Y5,A0A8C4B559,A0A3B5KPZ3,A0A3B5AS92,A0A8C5E0Z5"
P19397,"P19397,P24485,Q61451,H2N6F0,H2PZM7,A0A6D2XBJ7,A0A2R9BVP1,G3QRU1,A0A8I5NAS1,A0A2K5LKT9"
P19404,"P19404,Q0MQI9,Q0MQI8,Q0MQI7,Q20719,P40915,A0A5F8GLE3,A0A5F8GQQ8,A0A2I3N7S2,A0A6D2X999"
P19419,"P19419,P41969,A4GTP4,Q86SR6,G3R042,A0A2R9CFX8,A0A2K6K5M3,A0AAJ7MGE9,A0A5E4CM67,A0A2K5HRL5"
P19429,"P19429,P68246,P68247,P48787,P23693,Q5PYI0,Q6FGX2,A0A2J8IWZ7,A0A2R9ATT7,F7FID7"
P19438,"P19438,O19131,P22934,J9PH39,P19438-2,F5H6V7,P19438-3,F5H4T5,A0A2J8TB13,Q2PFV5"
P19440,"P19440,P36268,A6NGU5,Q60928,P20735,P07314,A0A140VJJ9,E7ETJ6,Q9UEN9,E9PHP2"
P19447,"P19447,Q60HG1,Q5RA62,Q4G005,Q1RMT1,P49135,A0A805R5J9,A0A096NNZ8,A0A8D2GMQ0,A0A8C9HLN1"
P19474,"P19474,H2Q2Y1,A0A6D2WBY9,F6ZU58,G7PQZ5,A0A2K5WCK2,G3QUH3,G1S6A6,F7ALH2,H2NEH4"
P19484,"P19484,B0QYS7,B1AKB1,A0A2J8NZQ8,B1AKB4,A0A2J8NZR4,B1AKB2,A0A2J8NZR0,A0A1B0GXL9,A0A2J8NZP5"
P19525,"P19525,B9UKH7,A0A6D2Y5E6,B9UKH6,B9UKJ1,B9UKH8,G3RTN4,B9UKH9,A0A2J8SWV6,B9UKI0"
P19526,"P19526,Q9TUD4,Q9TUD6,Q6IZA2,A7XM28,A0A385KNT2,A0A7G7XP25,A7XM32,Q76N68,E3UTT6"
P19532,"P19532,A0A2I2YS93,B4DIA5,A0A2K6GT80,G3RDS0,K7CJ26,A0A803KLT4,A0A2R9A329,K7EV11,A0A1D5QF51"
P19544,"P19544,A0A0A0MT54,A0A481V744,A0A0H5AUY0,H0Y7K5,P19544-4,A0A2J8P3Z4,A0A6D2X082,A0A2J8WGA8,A0A8I5TBD5"
P19622,"P19622,P09066,A0A2J8KLR9,A0A2I3S3Q9,G3SAI3,A0A2I3S8D4,A0A8I5NV28,H2PP52,A0A2K6BXQ4,A0A8C9IUJ2"
P19623,"P19623,A0A2J8USF6,A0A8C9IH76,A0A0D9S8N0,A0A2K6BI63,G1REE6,A0A8B6ZYT0,A0A8B8U904,G3RPZ5,A0A2Y9E2Z7"
P19634,"P19634,Q28036,P48762,B4DTZ6,B1ALD5,A0A2J8JNZ6,W5P0Z4,A0A4W2HD22,A0A6P5DFP2,A0A8C2NLS2"
P19652,"P02763,P19652,G1S4I5,G3RGJ6,A0A2J8NCR7,H2PT58,V9HWF6,G3RUF6,A0A8B6ZLG3,A0A2I2Z9C6"
P19784,"P19784,P21869,A0A2K5VDU5,A0A2I2YPY9,A0A2K5L3Z6,A0A2J8VZH3,K7CVS9,H9ENR6,A0A6D2Y5F5,A0A8C9HWJ6"
P19793,"P19793,Q6P3U7,F1D8Q5,H9FY76,A0A8D2EV76,A0A9W3EP41,A0A8B8SYQ5,A0A8B8SXY2,A0A2K5CK71,A0A6J3GIL4"
P19801,"P19801,Q8JZQ5,P36633,Q9TRC7,P19801-2,C9J0G8,C9J2J4,A0A2J8JZ36,A0A2J8JZ56,A0A2J8JZ50"
P19823,"P19823,O02668,P97279,Q61703,A0A2I3SNF6,A0A2J8KYX8,A0A2R8Z603,G7N1J8,G7PE64,A0A7N9CRF7"
P19827,"P19827,P97278,Q29052,Q0VCM5,Q61702,P19827-2,P19827-3,G3RZA4,A0A2I3RLH1,A0A2R9C755"
P19835,"P19835,P30122,Q86SR3,P19835-2,A0A2J8UJ28,G3SS16,A0A9W2W1G9,M3X096,A0A6J1XFS6,A0A667IL48"
P19838,"P19838,Q6F3J0,Q63369,P25799,A0A803KIE4,A0A2J8MAX5,F6Z5H5,F6V7I0,A0A096NDA9,F6S0D1"
P19875,"P19875,Q6LD33,A0A2I3SUB7,G3SET6,A0A663DAT3,G3R063,A0A5F9C6G2"
P19876,"P30348,P10889,P12850,Q10746,Q6W5C0,P09340,P19876,A6KKD4,Q6LDD6,A0A7F8QFY1"
P19878,"P19878,A0A0S2Z457,Q59F14,Q0Q616,A0A2K5PTR9,H2Q0R6,A0A6D2W8G6,A0A2R9BNV5,Q5R5J0,A0A2J8V879"
P19883,"P19883,A5YT95,O62650,P50291,P47931,P21674,P10669,P31514,H2QQV8,A0A6D2W6E2"
P19957,"P19957,A4K2P1,A0A6D2WL65,A0A2R8ZSC7,Q6LD69,A4K2M7,A0A2K5M253,A0A8D2FPC5,H2P216,A0A2K5HV26"
P19971,"P19971,E5KRG5,A0A2K6E9Z4,A0A0D9QXP7,A0A8C9HCD0,K7ALP6,B2RBL3,G3R5X9,A0A8D2E722,A0A2K5KRR1"
P20020,"P20020,P23220,P11505,G5E829,Q98SH2,A0A2K6DT38,A0A2K5LD76,A0A2J8XNC4,A0A8I3W2J7,A0A6D2XLE0"
P20023,"P20023,A0A8V8TQA3,A0A2K5LCB9,A0A2K5LCF2,A0A0D9RRN6,A0A2K5URA2,A0A8C9LY84,A0A8D2F0C2,G8F4J7,A0A2K6A0I5"
P20036,"P20036,X5CKE2,A0A172WC71,A0A172WC72,A0A172WC68,A0A172WC73,A0A5J6V0Z8,A0A5J6V154,A0A8E6Z9V6,A0A6G8IQI7"
P20042,"P20042,Q5E9D0,P41035,Q5R4T9,Q6IBR8,H2P1P6,K7DJJ3,A0A6D2WVY7,G3RHP2,Q96I16"
P20061,"P20061,P17630,G1RRV8,A0A2R9CAU4,A0A6D2XS50,H2Q3R8,H2NDB7,G3SJL1,A0A2K5F741,A0A8C0WSW4"
P20062,"P20062,Q5REL7,Q9R0D6,O88968,Q9XSC9,F8WE86,H2P425,A0A8V8TLK0,A0A8V8TN24,A0A8V8TLJ5"
P20073,"Q07076,Q4R5L5,P20073,A0A8I5ZM12,A0A8I5ZQ42,Q6IRJ7,G7N262,Q7M2V1,B9ZVT2,A0A2J8NUG3"
P20132,"P20132,P09367,Q8VBT2,A0A1D5RES6,F6Z3Z0,A0A2K5NHZ2,A0A0D9S482,A0AAJ7DBW9,A0A2K6L1U4,A0A2K5I731"
P20138,"P20138,Q546G0,G1R1L5,G3SD55,A0A2I3SJQ1,A0A6D2WPG0,A0A2R9BB40,A0A2K6KMV8,A0A2K6KMW6,A0A0A0MVH9"
P20142,"P20142,P03955,Q9GMY2,Q689Z7,Q9GMY4,Q9D7R7,P04073,Q64411,P81498,Q9N2D3"
P20151,"P07288,P00759,Q9JM71,P36374,P04071,P15948,P15946,P20151,P36375,P00757"
P20155,"P20155,A0A2J8PET3,G1RC24,A0A9L0J5M5,A0A8C4MP88,A0A5N3V2U0,A0A5N3W2F6,A0A452FP27,A0A7J8AR09,G1P188"
P20160,"P20160,A0A6D2X625,H2QET5,A0A2R9BZV9,H2NWR4,G3QF49,A0A8C6AHS6,A0A340XG98,A0A383ZNR1,A0A2Y9MGS9"
P20226,"P20226,P27633,Q28GG8,A6H909,A6H907,Q6SJ96,P20226-2,Q7Z6S4,Q7Z6S5,D2CT63"
P20231,"Q15661,P20231,J3QTS8,A0A2J8J822,A8C590,H2RBL6,A0A2R9CNX8,H2QA96,A0A6D2XJR4,Q6NZY1"
P20248,"P20248,G7P675,H2QQ40,A0A6D2X1U7,F6WZV1,A0A2K6Q6A5,A0A8J8XEW4,A0A2K5LC59,A0A096NPY9,A0A8C9IN41"
P20264,"P31361,Q63262,P20264,A0A6P5QN64,A0A337SVT6,A0A8B8SK03,A0A8C9DA92,A0A9W2UIV4,A0A6J2A993,A0A8I3N8J2"
P20265,"P31360,P56222,P20265,P79746,A0A6P5PH56,A0A8C2LP81,A0A8C6GY77,A0A1U7QHN3,A0A8C3F7D7,A0A852I4F0"
P20273,"P20273,Q9N1E5,Q9N1E4,Q0EAF5,M0QYP4,M0R3H1,M0R1M2,M0R2M0,Q9UQB2,G1RJZ9"
P20290,"P20290,A0A2J8VTE6,H2QR25,A0A6D2XLJ9,A0A2R8ZPJ0,A0A2R8MTJ7,A0A8C2LNH2,F6WAJ8,A0A6P3IJ10,I0FHT3"
P20292,"P20292,Q2PG08,P30354,P30356,P30358,A0A087WW23,A0A2J8MLT5,A0A2K6V4B7,A0A2I3G7Y6,A0A6D2WRT8"
P20309,"P08483,P11483,P20309,Q9N2A3,Q9N2A2,P41984,Q9N2A4,Q9ERZ3,P49578,A6KN24"
P20333,"P20333,P25119,Q80WY6,A0A8C9IB77,A0AAJ7IAB2,A0A2K6CLL0,F7EAF8,G7MH16,A0A2K5MRU3,A0A096N881"
P20336,"P20336,Q4R4R9,A0A024R7I7,A0A2K5QHC8,A0A2J8T628,A0A2I3SM83,A0A6J3H1R6,F6WFR3,A0A1D5R9N2,A0A6D2Y2K1"
P20337,"P20337,O95716,P35276,A0A8C2PBP3,A0A6G1AEM3,A0A8P0TRV1,A0A8I3P782,L8IKN2,A0A1S3AHI1,A0A8C9DPJ1"
P20338,"P20338,P05714,P56371,H2N3F9,K7C6H8,A0A5F4VSH5,H9ZBW1,A0A8C5XMQ2,A0A2K6RHT8,A0A2K5QD31"
P20339,"P20339,Q9CQD1,M0RC99,P18066,P61271,Q0IIG7,Q98932,Q06AU6,G3RIS2,A0A673T2Q0"
P20340,"P20340,Q5RAV6,Q53S08,Q1KME6,P35279,Q9WVB1,Q9H0N0,A0A024R5J5,A0A2J8V1J1,A0A2I3RF53"
P20366,"P20366,P41539,A0A6J0AMV1,A0A6I9IDJ9,A0A8B7K8J6,A0A8B6YER0,A0A9W3FD23,A0A9W3FD57,A0A8B7KAM1,A0A8B6YDG0"
P20393,"Q3UV55,Q63503,P20393,A0A6P6EPN6,A0A6P5QH20,A0A480V3V9,A0A8D0WM75,Q3I3W5,A0A2I3MXD6,A6MK14"
P20396,"P01150,P20396,Q62361,B1WBP2,G7N7T8,A0A8J8XZX4,A0A2I2YDN3,G1QZG4,A0A2K5HPM3,A0A2K6P507"
P20472,"P02625,P51434,P30563,P80050,P20472,P02624,P02628,P05940,P02629,A6HSI5"
P20585,"P20585,A0A384MDZ1,K7C428,H2RI28,A0A2J8NN13,A8K1E1,A0A2J8UWT4,H2PG03,G3R048,A0A2R9B289"
